data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9610112,231,ETH9332,9332,4-Nov-22,2022,1,Battles,Armed clash,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,1,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Begi,Begi,9.3457,34.5315,2,Oromiya Media Network,International,"On 4 November 2022, OLF Shane clashed with ENDF and Oromia regional special forces around Begi, Begi woreda (West Wellega, Oromia). Casualties unknown.",0,1667850819,ETH
9610127,231,ETH9333,9333,4-Nov-22,2022,1,Battles,Armed clash,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,1,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Nejo town,Nejo,9.5,35.5,2,Oromiya Media Network,International,"On 4 November 2022, and for the third consecutive day, OLF Shane clashed with ENDF and Oromia regional special forces around Nejo town, Nejo (West Wellega, Oromia). Casualties unknown.",0,1667850819,ETH
9610122,231,ETH9331,9331,3-Nov-22,2022,1,Battles,Armed clash,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,1,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Nejo town,Nejo,9.5,35.5,2,Oromiya Media Network,International,"On 3 November 2022, and for the second consecutive day, OLF Shane clashed with ENDF and Oromia regional special forces around Nejo town, Nejo (West Wellega, Oromia). Casualties unknown.",0,1667850819,ETH
9610114,231,ETH9330,9330,2-Nov-22,2022,1,Battles,Armed clash,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,1,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Nejo town,Nejo,9.5,35.5,2,Oromiya Media Network,International,"On 2 November 2022, OLF Shane clashed with ENDF and Oromia regional special forces around Nejo, Nejo town (West Wellega, Oromia). Casualties unknown.",0,1667850819,ETH
9610115,231,ETH9329,9329,2-Nov-22,2022,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ethiopia (2018-),,1,OLF: Oromo Liberation Front (Shane Splinter Faction),Civilians (Ethiopia),2,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Boji Dirmeji,Bila,9.3693,35.5986,1,Oromiya Media Network,International,"On 2 November 2022, Ethiopian Airforce conducted a drone strike against OLF Shane positions in Bila town, Boji Dirmeji woreda (West Wellega, Oromia), resulting in the killing of over 50 and wounding an unknown number of people, including civilians.",50,1667850819,ETH
9609910,231,ETH9327,9327,1-Nov-22,2022,1,Battles,Non-state actor overtakes territory,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,1,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Mendi town,Mendi,9.8,35.1,1,VOA; Wazema Radio; Oromiya Media Network; BBC News; TIKVAH Ethiopia; Ethiopia Observer; Deutsche Welle,Other-New media,"On 1 November 2022, OLF Shane clashed with Ethiopian government forces ENDF and Oromia regional special forces) in Mendi, Mendi town (West Wellega, Oromia). OLF Shane took control of the town after the fighting. The armed group kidnapped unknown number of local government officials, looted banks and destroyed public offices including woreda administration offices and police station when they enter the town. Casualties unknown.",0,1667850818,ETH
9610111,231,ETH9306,9306,1-Nov-22,2022,1,Protests,Peaceful protest,Protesters (Ethiopia),Tigray Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Amhara,South Wello,Kombolcha town,Kombolcha,11.0816,39.7434,1,Oromia Broadcasting Network,National,"On 1 November 2022, ethnic Tigray residents of Kombolcha town staged a protest against TPLF in Kombolcha (South Wello, Amhara). The protesters echoed slogans such as 'TPLF do not represent Tigrayans' and 'TPLF is against peace and development of Tigray'. [size=no report]",0,1667850819,ETH
9610113,231,ETH9324,9324,1-Nov-22,2022,1,Battles,Non-state actor overtakes territory,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,1,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Lalo Asabi,Dongoro,9.35,35.7167,1,Oromiya Media Network,International,"On 1 November 2022, OLF Shane clashed with ENDF and Oromia regional special forces in Dongoro in Lalo Asabi Woreda (West Wellega, Oromia). The group took control of the town after the government forces retreated from the area following the fighting. Casualties unknown.",0,1667850819,ETH
9610116,231,ETH9323,9323,1-Nov-22,2022,1,Battles,Armed clash,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,1,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Boji Dirmeji,Bila,9.3693,35.5986,1,Oromiya Media Network,International,"On 1 November 2022, OLF Shane clashed with ENDF and Oromia regional special forces in Bila town, Boji Dirmeji woreda (West Wellega, Oromia). Casualties unknown.",0,1667850819,ETH
9610117,231,ETH9325,9325,1-Nov-22,2022,1,Battles,Non-state actor overtakes territory,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,1,12,Eastern Africa,Ethiopia,Oromia,West Wellega,Kiltu Kara,Kiltu Kara,9.6667,35.25,1,Oromiya Media Network,International,"On 1 November 2022, OLF Shane clashed with ENDF and Oromia regional special forces in Kiltu Kara (West Wellega, Oromia). The group took control of the town after the government forces retreated from the town following the fighting. Casualties unknown.",0,1667850819,ETH
